assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000978805.1	PRJDB1465	SAMD00016608	BAUQ00000000.1	representative genome	33556	33556	Balaenoptera bonaerensis			latest	Scaffold	Major	Full	18/03/2015	ASM97880v1	Division of Biological Science, Graduate School of Science, Kyoto University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/805/GCA_000978805.1_ASM97880v1		
GCA_000276665.1	PRJNA68239	SAMN00632093	AGCD00000000.1	representative genome	34839	34839	Chinchilla lanigera		Chin_1	latest	Scaffold	Major	Full	09/07/2012	ChiLan1.0	Broad Institute	GCF_000276665.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/665/GCA_000276665.1_ChiLan1.0		
GCA_002288905.2	PRJNA388419	SAMN07211055	NSES00000000.1	representative genome	391180	34882	Enhydra lutris kenyoni		GAN:26980312	latest	Scaffold	Major	Full	11/09/2017	ASM228890v2	BC Cancer Agency	GCF_002288905.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/905/GCA_002288905.2_ASM228890v2		
GCA_001039535.1	PRJNA272435	SAMN03282167		na	112262	37174	Ovis canadensis canadensis		43U	latest	Chromosome	Major	Partial	25/06/2015	ASM103953v1	University of Alberta	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/039/535/GCA_001039535.1_ASM103953v1		
GCA_000952055.2	PRJNA251539	SAMN03121886	JYKP00000000.2	representative genome	37293	37293	Aotus nancymaae		86115	latest	Scaffold	Major	Full	09/06/2017	Anan_2.0	Baylor College of Medicine	GCF_000952055.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/952/055/GCA_000952055.2_Anan_2.0		
GCA_000181375.1	PRJNA13971	SAMN03004381	AAPY00000000.1	representative genome	37347	37347	Tupaia belangeri			latest	Contig	Major	Full	08/06/2006	ASM18137v1	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/375/GCA_000181375.1_ASM18137v1		
GCA_000688575.1	PRJNA212237	SAMN02252454	AVPZ00000000.1	representative genome	37548	37548	Cavia aperea			latest	Scaffold	Major	Full	21/01/2014	CavAp1.0	Leibniz Institute for Zoo and Wildlife research	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/688/575/GCA_000688575.1_CavAp1.0		
GCA_002099425.1	PRJNA359763	SAMN06198159	MSTS00000000.1	representative genome	38626	38626	Phascolarctos cinereus		Bilbo 61053	latest	Contig	Major	Full	18/04/2017	phaCin_unsw_v4.1	The Earlham Institute	GCF_002099425.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/099/425/GCA_002099425.1_phaCin_unsw_v4.1		
GCA_001685075.1	PRJNA305123	SAMN04317027	LOEQ00000000.1	representative genome	39086	39086	Ellobius lutescens		ElloLutescens_01	latest	Scaffold	Major	Full	14/07/2016	ASM168507v1	Erasmus medical center (ErasmusMC)	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/685/075/GCA_001685075.1_ASM168507v1		
GCA_001685115.1	PRJNA305123	SAMN04317028	LOJG00000000.1	na	39086	39086	Ellobius lutescens		ElloLutescens_female_01	latest	Scaffold	Major	Full	14/07/2016	ASM168511v1	Erasmus medical center (ErasmusMC)	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/685/115/GCA_001685115.1_ASM168511v1		
GCA_000181275.2	PRJNA13689	SAMN00210854	AALT00000000.2	representative genome	42254	42254	Sorex araneus		GB8-d	latest	Scaffold	Major	Full	27/08/2012	SorAra2.0	Broad Institute	GCF_000181275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/275/GCA_000181275.2_SorAra2.0		
GCA_000181315.1	PRJNA13937	SAMN03000702	AAQQ00000000.1	na	43179	43179	Ictidomys tridecemlineatus			latest	Contig	Major	Full	06/06/2006	ASM18131v1	The Genome Sequencing Platform, The Genome Assembly Team	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/315/GCA_000181315.1_ASM18131v1		
GCA_000236235.1	PRJNA61725	SAMN00210855	AGTP00000000.1	representative genome	43179	43179	Ictidomys tridecemlineatus		#75	latest	Scaffold	Major	Full	29/11/2011	SpeTri2.0	Broad Institute	GCF_000236235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/236/235/GCA_000236235.1_SpeTri2.0		
GCA_002443075.1	PRJNA256236	SAMN03020601	JRFZ00000000.1	representative genome	43332	43332	Elaphurus davidianus	breed=Woburn Abbey	Dafeng	latest	Scaffold	Major	Full	04/10/2017	Milu1.0	Nanjing Normal University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/443/075/GCA_002443075.1_Milu1.0		
GCA_000772465.1	PRJNA241312	SAMN02689222	JMHX00000000.1	representative genome	43780	43780	Nasalis larvatus		Charlie	latest	Chromosome	Major	Full	10/11/2014	Charlie1.0	Proboscis Monkey Functional Genome Consortium	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/772/465/GCA_000772465.1_Charlie1.0		
GCA_002215935.1	PRJNA355058	SAMN06061930	NESX00000000.1	representative genome	48139	48139	Psammomys obesus		Psa_ob012049795	latest	Contig	Major	Full	07/07/2017	ASM221593v1	Department of Zoology, University of Oxford, UK	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/935/GCA_002215935.1_ASM221593v1		
GCA_000280705.1	PRJNA72445	SAMN00728442	AKZC00000000.1	representative genome	51337	51337	Jaculus jaculus		JJ0015	latest	Scaffold	Major	Full	30/07/2012	JacJac1.0	Broad Institute	GCF_000280705.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/280/705/GCA_000280705.1_JacJac1.0		
GCA_001984765.1	PRJNA359140	SAMN06187566	MTKA00000000.1	representative genome	51338	51338	Castor canadensis		Ward	latest	Scaffold	Major	Full	04/02/2017	C.can genome v1.0	Hospital for Sick Children	GCF_001984765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/984/765/GCA_001984765.1_C.can_genome_v1.0		
GCA_900168385.1	PRJEB19765	SAMEA101510668	FVZM00000000.1	na	51338	51338	Castor canadensis			latest	Scaffold	Major	Full	01/05/2017	bgp_v1	OREGON STATE UNIVERSITY	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/168/385/GCA_900168385.1_bgp_v1		
GCA_000951035.1	PRJNA251421	SAMN03121814	JYKR00000000.1	representative genome	336983	54131	Colobus angolensis palliatus		OR3802	latest	Scaffold	Major	Full	12/03/2015	Cang.pa_1.0	Baylor College of Medicine	GCF_000951035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/951/035/GCA_000951035.1_Cang.pa_1.0		
GCA_001675575.1	PRJNA319537	SAMN04893622	LZPO00000000.1	representative genome	56216	56216	Neotoma lepida		417	latest	Scaffold	Major	Full	23/06/2016	ASM167557v1	University of Utah	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/675/575/GCA_001675575.1_ASM167557v1		
GCA_000147115.1	PRJNA16951	SAMN02953645	AAPE00000000.2	representative genome	59463	59463	Myotis lucifugus			latest	Scaffold	Major	Full	14/09/2010	Myoluc2.0	Broad Institute	GCF_000147115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/115/GCA_000147115.1_Myoluc2.0		
GCA_000465405.1	PRJNA209408	SAMN02212709	AWGZ00000000.1	representative genome	59476	59476	Pteronotus parnellii			latest	Scaffold	Major	Full	13/09/2013	ASM46540v1	School of Biological & Chemical Sciences, Queen Mary University of London	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/465/405/GCA_000465405.1_ASM46540v1		
GCA_000465495.1	PRJNA209409	SAMN02213056	AWHA00000000.1	representative genome	59479	59479	Rhinolophus ferrumequinum			latest	Scaffold	Major	Full	15/09/2013	ASM46549v1	School of Biological & Chemical Sciences, Queen Mary University of London	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/465/495/GCA_000465495.1_ASM46549v1		
GCA_000400835.1	PRJNA72465	SAMN00990743	AGTT00000000.1	representative genome	59538	59538	Pantholops hodgsonii			latest	Scaffold	Major	Full	28/05/2013	PHO1.0	BGI	GCF_000400835.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/400/835/GCA_000400835.1_PHO1.0		
GCA_000409795.2	PRJNA168621	SAMN01760484	AQIB00000000.1	representative genome	60711	60711	Chlorocebus sabaeus		1994-021	latest	Chromosome	Major	Full	25/03/2014	Chlorocebus_sabeus 1.1	Vervet Genomics Consortium	GCF_000409795.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/409/795/GCA_000409795.2_Chlorocebus_sabeus_1.1		
GCA_001698545.1	PRJNA315476	SAMN02786331	MCGX00000000.1	representative genome	61621	61621	Rhinopithecus bieti		Rb0	latest	Scaffold	Major	Full	03/08/2016	ASM169854v1	Laboratory for conservation and utilization of Bio-resource	GCF_001698545.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/698/545/GCA_001698545.1_ASM169854v1		
GCA_000769185.1	PRJNA230020	SAMN02427086	JABR00000000.1	representative genome	61622	61622	Rhinopithecus roxellana		Xiao Hai	latest	Scaffold	Major	Full	28/10/2014	Rrox_v1	Novogene	GCF_000769185.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/769/185/GCA_000769185.1_Rrox_v1		
GCA_000146795.3	PRJNA13975	SAMN02981257	ADFV00000000.1	representative genome	61853	61853	Nomascus leucogenys		"Asia; international studbook 0098"	latest	Chromosome	Major	Full	08/12/2012	Nleu_3.0	Gibbon Genome Sequencing Consortium	GCF_000146795.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/795/GCA_000146795.3_Nleu_3.0		
GCA_002564285.1	PRJNA380259	SAMN06642005	NDGN000000000.1	representative genome	61882	61882	Tympanoctomys barrerae		AO245	latest	Scaffold	Major	Full	17/10/2017	Tym_barrerae_AO245_v1	McMaster University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/564/285/GCA_002564285.1_Tym_barrerae_AO245_v1		
GCA_000298355.1	PRJNA74739	SAMN00744358	AGSK00000000.1	representative genome	72004	72004	Bos mutus		yakQH1	latest	Scaffold	Major	Full	09/01/2013	BosGru_v2.0	BGI-shenzhen	GCF_000298355.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/298/355/GCA_000298355.1_BosGru_v2.0		
GCA_002968435.1	PRJNA435474	SAMN08580377		na	72004	72004	Bos mutus		yakQH1	latest	Chromosome	Major	Partial	05/03/2018	ASM296843v1	Institute of Bioinformatics and Applied Biotechnology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/968/435/GCA_002968435.1_ASM296843v1		
GCA_000465285.1	PRJNA209406	SAMN02212690	AWHC00000000.1	representative genome	77214	77214	Eidolon helvum			latest	Scaffold	Major	Full	13/09/2013	ASM46528v1	School of Biological & Chemical Sciences, Queen Mary University of London	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/465/285/GCA_000465285.1_ASM46528v1		
GCA_000317375.1	PRJNA72443	SAMN00727831	AHZW00000000.1	representative genome	79684	79684	Microtus ochrogaster		Prairie Vole_2	latest	Chromosome	Major	Full	07/12/2012	MicOch1.0	Broad Institute	GCF_000317375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/375/GCA_000317375.1_MicOch1.0		
GCA_002901085.1	PRJNA368679	SAMN07314178	NKTL00000000.1	representative genome	1906352	79805	Solenodon paradoxus paradoxus		south	latest	Scaffold	Major	Full	26/01/2018	ASM290108v1	University of Puerto Rico - Mayaguez Campus	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/901/085/GCA_002901085.1_ASM290108v1		
GCA_001660835.1	PRJNA313910	SAMN04526128	LVCL000000000.1	representative genome	86973	86973	Okapia johnstoni		WOAK	latest	Scaffold	Major	Full	08/06/2016	ASM166083v1	Pennsylvania State University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/835/GCA_001660835.1_ASM166083v1		
GCA_001262665.1	PRJNA284191	SAMN03699688	LGHW00000000.1	representative genome	87288	87288	Eulemur flavifrons		Harlow	latest	Scaffold	Major	Full	06/08/2015	Eflavifronsk33QCA	University of Chicago	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/262/665/GCA_001262665.1_Eflavifronsk33QCA		
GCA_001888835.1	PRJNA294852	SAMN04038064	LVEH00000000.1	representative genome	89399	89399	Rhinolophus sinicus		Zhonghua_01	latest	Scaffold	Major	Full	04/12/2016	ASM188883v1	SKLEC & IECR	GCF_001888835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/835/GCA_001888835.1_ASM188883v1		
GCA_000180995.2	PRJNA40113	SAMN00004269	ACZF000000000.2	na	89462	89462	Bubalus bubalis	breed=Jaffrabadi	Manek	latest	Contig	Major	Partial	30/03/2012	Bubalus_bubalis_Jaffrabadi_v2.0	Anand Agricultural University, Anand, Gujarat, India	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/995/GCA_000180995.2_Bubalus_bubalis_Jaffrabadi_v2.0		
GCA_000471725.1	PRJNA207334	SAMN02191888	AWWX00000000.1	representative genome	89462	89462	Bubalus bubalis	breed=Mediterranean		latest	Scaffold	Major	Full	30/09/2013	UMD_CASPUR_WB_2.0	University of Maryland	GCF_000471725.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/471/725/GCA_000471725.1_UMD_CASPUR_WB_2.0		
GCA_002993835.1	PRJNA267486	SAMN03196556	LPUW00000000.1	na	89462	89462	Bubalus bubalis	breed=Egyptian buffalo	EGYBUF_1.0	latest	Scaffold	Major	Full	09/03/2018	ASM299383v1	Egyptian Water Buffalo Genome Consortium (Agriculture Genetic Engineering Research Institute and Nile University)	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/993/835/GCA_002993835.1_ASM299383v1		
GCA_002844835.1	PRJNA415733	SAMN07833945	PEKH000000000.1	representative genome	310712	89632	Dicerorhinus sumatrensis sumatrensis	ecotype=Sumatra	Ipuh	latest	Scaffold	Major	Full	19/12/2017	ASM284483v1	Marshall University Genomic Core Facility	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/844/835/GCA_002844835.1_ASM284483v1		
GCA_002406435.1	PRJNA215874	SAMN07711139	AXRT00000000.1	representative genome	99837	99837	Spermophilus dauricus			latest	Scaffold	Major	Full	28/09/2017	ASM240643v1	BGI-shenzhen	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/406/435/GCA_002406435.1_ASM240643v1		
GCA_002335545.1	PRJDB5914	SAMD00084465	BDUI00000000.1	representative genome	105296	105296	Apodemus speciosus		IB14-021	latest	Scaffold	Major	Full	12/09/2017	Aspe_assembly01	University of the Ryukyus	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/335/545/GCA_002335545.1_Aspe_assembly01		
GCA_000412655.1	PRJNA178678	SAMN01801565	ANKR00000000.1	representative genome	109478	109478	Myotis brandtii			latest	Scaffold	Major	Full	28/06/2013	ASM41265v1	BGI	GCF_000412655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/412/655/GCA_000412655.1_ASM41265v1		
GCA_000442215.1	PRJNA174066	SAMN02953859	AUPI00000000.1	representative genome	118797	118797	Lipotes vexillifer			latest	Scaffold	Major	Full	31/07/2013	Lipotes_vexillifer_v1	BGI	GCF_000442215.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/215/GCA_000442215.1_Lipotes_vexillifer_v1		
GCA_000151845.2	PRJNA20325	SAMN02894360	ABRP00000000.2	representative genome	132908	132908	Pteropus vampyrus		Shadow	latest	Scaffold	Major	Full	05/12/2014	Pvam_2.0	Baylor College of Medicine	GCF_000151845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/845/GCA_000151845.2_Pvam_2.0		
GCA_002564305.1	PRJNA380259	SAMN06642006	NDGM000000000.1	representative genome	135583	135583	Octomys mimax		AO248	latest	Scaffold	Major	Full	17/10/2017	Oct_mimax_AO248_v1	McMaster University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/564/305/GCA_002564305.1_Oct_mimax_AO248_v1		
GCA_000738955.1	PRJNA20331	SAMN01943338	JPTV00000000.1	representative genome	143292	143292	Manis pentadactyla		MPE899	latest	Scaffold	Major	Full	11/08/2014	M_pentadactyla-1.1.1	Washington University (WashU)	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/738/955/GCA_000738955.1_M_pentadactyla-1.1.1		
GCA_000260355.1	PRJNA72447	SAMN00727830	AJFV00000000.1	representative genome	143302	143302	Condylura cristata		star-nosed mole 26May11	latest	Scaffold	Major	Full	01/05/2012	ConCri1.0	Broad Institute	GCF_000260355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/355/GCA_000260355.1_ConCri1.0		
GCA_000296735.1	PRJNA74591	SAMN00744889	AMDV00000000.1	representative genome	185453	185453	Chrysochloris asiatica			latest	Scaffold	Major	Full	19/09/2012	ChrAsi1.0	Broad Institute	GCF_000296735.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/735/GCA_000296735.1_ChrAsi1.0		
GCA_001890085.1	PRJNA267039	SAMN03177460	JXIK00000000.1	representative genome	186990	186990	Hipposideros armiger		ML-2016	latest	Scaffold	Major	Full	06/12/2016	ASM189008v1	SKLEC & IECR	GCF_001890085.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/085/GCA_001890085.1_ASM189008v1		
GCA_003031525.1	PRJNA343136	SAMN05831577	MKKW00000000.1	representative genome	1706337	189058	Neophocaena asiaeorientalis asiaeorientalis	breed=wild		latest	Scaffold	Major	Full	03/04/2018	Neophocaena_asiaeorientalis_V1	Nanjing normal university	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/031/525/GCA_003031525.1_Neophocaena_asiaeorientalis_V1		
GCA_000327345.1	PRJNA171994	SAMN01103204	ALWT00000000.1	representative genome	225400	225400	Myotis davidii			latest	Scaffold	Major	Full	20/12/2012	ASM32734v1	BGI	GCF_000327345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/327/345/GCA_000327345.1_ASM32734v1		
GCA_000334495.1	PRJNA169406	SAMN01084043	ALAR00000000.1	representative genome	246437	246437	Tupaia chinensis			latest	Scaffold	Major	Full	31/01/2013	TupChi_1.0	BGI	GCF_000334495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/334/495/GCA_000334495.1_TupChi_1.0		
GCA_001595765.1	PRJNA283550	SAMN03652541	LDJU00000000.1	representative genome	291302	291302	Miniopterus natalensis		MN2012-01	latest	Scaffold	Major	Full	22/03/2016	Mnat.v1	University of California, San Francisco	GCF_001595765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/765/GCA_001595765.1_Mnat.v1		
GCA_001685095.1	PRJNA305123	SAMN04317029	LOJH00000000.1	representative genome	329620	329620	Ellobius talpinus		ElloTalpinus_01	latest	Scaffold	Major	Full	14/07/2016	ETalpinus_0.1	Erasmus medical center (ErasmusMC)	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/685/095/GCA_001685095.1_ETalpinus_0.1		
GCA_000956105.1	PRJNA251429	SAMN03121823	JZKE00000000.1	representative genome	379532	379532	Propithecus coquereli		6110/MARCELLA	latest	Scaffold	Major	Full	23/03/2015	Pcoq_1.0	Baylor College of Medicine	GCF_000956105.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/956/105/GCA_000956105.1_Pcoq_1.0		
GCA_000311805.2	PRJNA76177	SAMN01910617	AGVR00000000.1	representative genome	419612	419612	Camelus ferus		Naran	latest	Scaffold	Major	Full	30/07/2013	CB1	The Bactrian Camels Genome Sequencing and Analysis Consortium	GCF_000311805.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/311/805/GCA_000311805.2_CB1		
GCA_001651235.1	PRJNA313910	SAMN04526126	LVKQ00000000.1	representative genome	439328	439328	Giraffa camelopardalis tippelskirchi		MA1	latest	Scaffold	Major	Full	20/05/2016	ASM165123v1	Pennsylvania State University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/651/235/GCA_001651235.1_ASM165123v1		
GCA_001305785.1	PRJNA290429	SAMN03863713	LIPI00000000.1	representative genome	447135	447135	Myodes glareolus		BV_1_Jyvaskyla	latest	Scaffold	Major	Full	02/10/2015	ASM130578v1	University of Liverpool	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/785/GCA_001305785.1_ASM130578v1		
GCA_900108605.1	PRJEB15663	SAMEA4493372	FNWR00000000.1	representative genome	452646	452646	Neovison vison			latest	Scaffold	Major	Full	02/01/2018	NNQGG.v01	Center for Quantitative Genetics and Genomics	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/108/605/GCA_900108605.1_NNQGG.v01		
GCA_000696425.1	PRJNA20511	SAMN01758971	JMZW00000000.1	representative genome	482537	482537	Galeopterus variegatus			latest	Scaffold	Major	Full	05/06/2014	G_variegatus-3.0.2	Washington University (WashU)	GCF_000696425.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/425/GCA_000696425.1_G_variegatus-3.0.2		
GCA_002776525.1	PRJNA413051	SAMN07735529	PDMG00000000.1	representative genome	591936	591936	Piliocolobus tephrosceles		RC106	latest	Scaffold	Major	Full	16/11/2017	ASM277652v1	University of Oregon	GCF_002776525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/776/525/GCA_002776525.1_ASM277652v1		
GCA_000743615.1	PRJNA190641	SAMN02339281	AYUG00000000.1	representative genome	885580	885580	Fukomys damarensis			latest	Scaffold	Major	Full	04/09/2014	DMR_v1.0	BGI	GCF_000743615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/743/615/GCA_000743615.1_DMR_v1.0		
GCA_000622305.1	PRJNA213569	SAMN02299330	AXCS00000000.1	representative genome	1026970	1026970	Nannospalax galili		Female #2095	latest	Scaffold	Major	Full	05/06/2014	S.galili_v1.0	BGI	GCF_000622305.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/622/305/GCA_000622305.1_S.galili_v1.0		
GCA_000164805.2	PRJNA20339	SAMN02445010	ABRT00000000.2	representative genome	1868482	1868482	Carlito syrichta		Samal-C Ts95f	latest	Scaffold	Major	Full	18/09/2013	Tarsius_syrichta-2.0.1	Washington University (WashU)	GCF_000164805.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/805/GCA_000164805.2_Tarsius_syrichta-2.0.1		
GCA_000002035.2	PRJNA11776	SAMEA3146315	CABZ00000000.1	na	7955	7955	Danio rerio	strain=Tuebingen		replaced	Chromosome	Major	Full	15/07/2010	Zv9	Wellcome Trust Sanger Institute	GCF_000002035.4	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/035/GCA_000002035.2_Zv9		
GCA_000002035.3	PRJNA11776	SAMN03020626		na	7955	7955	Danio rerio			replaced	Chromosome	Major	Full	02/09/2014	GRCz10	Genome Reference Consortium	GCF_000002035.5	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/035/GCA_000002035.3_GRCz10		
GCA_000951615.1	PRJEB7241	SAMEA2757102		na	7962	7962	Cyprinus carpio			replaced	Scaffold	Major	Full	03/11/2014	common carp genome	CHINESE ACADEMY OF FISHERY SCIENCE	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/951/615/GCA_000951615.1_common_carp_genome		
GCA_000372685.1	PRJNA89115	SAMN02981523	APWO00000000.1	na	7994	7994	Astyanax mexicanus			replaced	Scaffold	Major	Full	23/04/2013	Astyanax_mexicanus-1.0.2	Aquatic Genome Models	GCF_000372685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/372/685/GCA_000372685.1_Astyanax_mexicanus-1.0.2		
GCA_000721915.1	PRJNA221548	SAMN02439989	AZJR00000000.1	na	8010	8010	Esox lucius		eluc_v1	replaced	Chromosome	Major	Full	09/07/2014	EsoLuc1.0	University of Victoria	GCF_000721915.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/721/915/GCA_000721915.1_EsoLuc1.0		
GCA_000721915.2	PRJNA221548	SAMN02439989	AZJR00000000.2	na	8010	8010	Esox lucius		CL-BC-CA-002	replaced	Chromosome	Major	Full	09/06/2015	ASM72191v2	Ben F Koop, Jong S Leong	GCF_000721915.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/721/915/GCA_000721915.2_ASM72191v2		
GCA_000233375.3	PRJNA72713	SAMN02749551	AGKD00000000.3	na	8030	8030	Salmo salar	breed=double haploid	Sally	replaced	Contig	Major	Full	13/06/2014	ICSASG_v1	International Cooperation to Sequence the Atlantic Salmon Genome	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/375/GCA_000233375.3_ICSASG_v1		
GCA_002910315.1	PRJNA348349	SAMN06561764	PPUY00000000.1	na	8036	8036	Salvelinus alpinus		IW2-2015	replaced	Chromosome	Major	Full	02/02/2018	ASM291031v1	University of Victoria	GCF_002910315.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/910/315/GCA_002910315.1_ASM291031v1		
GCA_002775205.1	PRJNA72525	SAMN08025980	PGSD00000000.1	na	8083	8083	Xiphophorus maculatus	strain=JP 163 A		replaced	Scaffold	Major	Full	16/11/2017	X_maculatus-5.0-male	The Genome Institute, Washington University at St. Louis	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/775/205/GCA_002775205.1_X_maculatus-5.0-male		
GCA_001904815.1	PRJNA73673	SAMN05981185	AGQT00000000.1	na	8255	8255	Paralichthys olivaceus		ysfri_paol	replaced	Contig	Major	Full	06/12/2016	ParOli_1.0	Yellow Sea Fisheries Research Institute, CAFS	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/904/815/GCA_001904815.1_ParOli_1.0		
GCA_001970005.1	PRJNA344006	SAMN05817825	MPLB00000000.1	na	8255	8255	Paralichthys olivaceus	breed=gynogenesis		suppressed	Scaffold	Major	Full	24/01/2017	Flounder_ref_guided_V1.0	Tsinghua University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/970/005/GCA_001970005.1_Flounder_ref_guided_V1.0		
GCA_000004195.2	PRJNA12348	SAMN00000117	AAMC00000000.2	na	8364	8364	Xenopus tropicalis	strain=Nigerian		replaced	Scaffold	Major	Full	19/12/2012	Xtropicalis_v7	DOE Joint Genome Institute	GCF_000004195.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/195/GCA_000004195.2_Xtropicalis_v7		
