#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Mus musculus domesticus	10092	PRJNA310854	310854	Animals	Mammals	2689.66	42.9479	GCA_001624835.1	chromosome 1:CM004054.1; chromosome 2:CM004055.1; chromosome 3:CM004056.1; chromosome 4:CM004057.1; chromosome 5:CM004058.1; chromosome 6:CM004059.1; chromosome 7:CM004060.1; chromosome 8:CM004061.1; chromosome 9:CM004062.1; chromosome 10:CM004063.1; chromosome 11:CM004064.1; chromosome 12:CM004065.1; chromosome 13:CM004066.1; chromosome 14:CM004067.1; chromosome 15:CM004068.1; chromosome 16:CM004069.1; chromosome 17:CM004070.1; chromosome 18:CM004071.1; chromosome 19:CM004072.1; chromosome X:CM004073.1; mitochondrion MT:CM004189.1	LVXW01	2239	-	-	2016/04/15	2016/04/25	Chromosome	Wellcome Trust Sanger Institute	SAMN04489831
Giraffa camelopardalis tippelskirchi	439328	PRJNA313910	313910	Animals	Mammals	2705.07	41.4	GCA_001651235.1	-	LVKQ01	513177	-	-	2016/05/20	2016/06/07	Scaffold	Pennsylvania State University	SAMN04526126
Ailuropoda melanoleuca	9646	PRJNA299083	299083	Animals	Mammals	2428.26	-	GCA_002007445.1	-	LNAT01	57414	-	-	2017/02/28	2017/02/28	Scaffold	Institute of Zoology, Chinese Academy of Sciences	SAMN04193337
Alligator mississippiensis	8496	PRJNA305630	305630	Animals	Reptiles	2161.71	44.3	GCA_001541155.1	-	LPUV01	7091	-	-	2016/01/26	2016/01/26	Scaffold	Dovetail Genomics	SAMN02981418
Ambystoma mexicanum	8296	PRJNA378970	378970	Animals	Amphibians	32393.6	40.3	GCA_002915635.1	-	PGSH01	125724	-	-	2018/02/05	2018/02/05	Scaffold	Max Planck Society	SAMN06554622
Anas platyrhynchos	8839	PRJNA46621	46621	Animals	Birds	1105.05	41.2001	GCA_000355885.1	mitochondrion MT:NC_009684.1/EU009397.1	ADON01	78488	21727	30493	2013/04/02	2013/06/17	Scaffold	State Key Laboratory for Agrobiotechnology, China Agricultural University, Beijing	SAMN00011637
Anguilla japonica	7937	PRJNA158309	158309	Animals	Fishes	1151.14	43.6	GCA_000470695.1	mitochondrion MT:CM002536.1	AVPY01	323740	-	-	2013/09/12	2014/08/26	Scaffold	ZF-screens B.V.	SAMN03004389
Aquila chrysaetos canadensis	216574	PRJNA277694	277694	Animals	Birds	1192.74	41.9001	GCA_000766835.1	mitochondrion MT:NC_024087.1/KF905228.1	JRUM01	1142	17520	31284	2014/10/12	2014/10/14	Scaffold	NCBI	SAMN03079786
Ara macao	176014	PRJNA189648	189648	Animals	Birds	1204.7	42.5001	GCA_000400695.1	mitochondrion MT:CM002021.1	AOUJ01	192790	-	-	2013/05/20	2014/08/21	Scaffold	Texas A&M University	SAMN03000706
Bos indicus	9915	PRJNA360096	360096	Animals	Mammals	2673.97	42.3689	GCA_000247795.2	chromosome 1:NC_032650.1/CM003021.1; chromosome 2:NC_032651.1/CM003022.1; chromosome 3:NC_032652.1/CM003023.1; chromosome 4:NC_032653.1/CM003024.1; chromosome 5:NC_032654.1/CM003025.1; chromosome 6:NC_032655.1/CM003026.1; chromosome 7:NC_032656.1/CM003027.1; chromosome 8:NC_032657.1/CM003028.1; chromosome 9:NC_032658.1/CM003029.1; chromosome 10:NC_032659.1/CM003030.1; chromosome 11:NC_032660.1/CM003031.1; chromosome 12:NC_032661.1/CM003032.1; chromosome 13:NC_032662.1/CM003033.1; chromosome 14:NC_032663.1/CM003034.1; chromosome 15:NC_032664.1/CM003035.1; chromosome 16:NC_032665.1/CM003036.1; chromosome 17:NC_032666.1/CM003037.1; chromosome 18:NC_032667.1/CM003038.1; chromosome 19:NC_032668.1/CM003039.1; chromosome 20:NC_032669.1/CM003040.1; chromosome 21:NC_032670.1/CM003041.1; chromosome 22:NC_032671.1/CM003042.1; chromosome 23:NC_032672.1/CM003043.1; chromosome 24:NC_032673.1/CM003044.1; chromosome 25:NC_032674.1/CM003045.1; chromosome 26:NC_032675.1/CM003046.1; chromosome 27:NC_032676.1/CM003047.1; chromosome 28:NC_032677.1/CM003048.1; chromosome 29:NC_032678.1/CM003049.1; chromosome X:NC_032679.1/CM003050.1; chromosome Y:NC_032680.1/CM003051.1; mitochondrion MT:NC_005971.1/AY126697.1	AGFL01	32	26205	35992	2012/02/16	2014/11/25	Chromosome	NCBI	SAMN02953802
Bos mutus	72004	PRJNA74739	74739	Animals	Mammals	2645.16	42	GCA_000298355.1	mitochondrion MT:NC_006380.3/EF494179.1	AGSK01	41192	25577	28881	2012/05/21	2013/11/01	Scaffold	BGI-shenzhen	SAMN00744358
Bubalus bubalis	89462	PRJNA223666	223666	Animals	Mammals	2836.17	42.2	GCA_000471725.1	mitochondrion MT:NC_006295.1/AY702618.1	AWWX01	366983	28453	41499	2013/09/27	2013/09/30	Scaffold	NCBI	SAMN02191888
Calidris pugnax	198806	PRJNA305421	305421	Animals	Birds	1229.09	42.7	GCA_001431845.1	-	LDEH01	3753	18583	30889	2015/11/04	2015/11/04	Scaffold	NCBI	SAMN03491621
Callithrix jacchus	9483	PRJNA20401	20401	Animals	Mammals	2914.96	41.3414	GCA_000004665.1	chromosome 1:NC_013896.1/CM000856.1; chromosome 2:NC_013897.1/CM000857.1; chromosome 3:NC_013898.1/CM000858.1; chromosome 4:NC_013899.1/CM000859.1; chromosome 5:NC_013900.1/CM000860.1; chromosome 6:NC_013901.1/CM000861.1; chromosome 7:NC_013902.1/CM000862.1; chromosome 8:NC_013903.1/CM000863.1; chromosome 9:NC_013904.1/CM000864.1; chromosome 10:NC_013905.1/CM000865.1; chromosome 11:NC_013906.1/CM000866.1; chromosome 12:NC_013907.1/CM000867.1; chromosome 13:NC_013908.1/CM000868.1; chromosome 14:NC_013909.1/CM000869.1; chromosome 15:NC_013910.1/CM000870.1; chromosome 16:NC_013911.1/CM000871.1; chromosome 17:NC_013912.1/CM000872.1; chromosome 18:NC_013913.1/CM000873.1; chromosome 19:NC_013914.1/CM000874.1; chromosome 20:NC_013915.1/CM000875.1; chromosome 21:NC_013916.1/CM000876.1; chromosome 22:NC_013917.1/CM000877.1; chromosome X:NC_013918.1/CM000878.1; chromosome Y:NC_013919.1/CM000879.1	ACFV01	16399	35188	45251	2010/01/21	2014/08/11	Chromosome	Washington University (WashU)	SAMN02981242
Calypte anna	9244	PRJNA253828	253828	Animals	Birds	1105.68	41.3	GCA_000699085.1	-	JJRV01	54736	14812	16329	2014/05/06	2016/11/17	Scaffold	NCBI	SAMN02265252
Camelus bactrianus	9837	PRJNA269612	269612	Animals	Mammals	1992.66	41.4	GCA_000767855.1	mitochondrion MT:NC_009628.2/EF212037.2	JARL01	35455	24287	28601	2014/10/16	2014/10/23	Scaffold	NCBI	SAMN02953968
Camelus dromedarius	9838	PRJNA269274	269274	Animals	Mammals	2055.06	41.5	GCA_000803125.1	-	JWIN01	35752	-	-	2014/12/17	2014/12/17	Scaffold	Vetmeduni Vienna	SAMN03252735
Canis lupus familiaris	9615	PRJNA13179	13179	Animals	Mammals	2410.98	41.3022	GCA_000002285.2	chromosome 1:NC_006583.3/CM000001.3; chromosome 2:NC_006584.3/CM000002.3; chromosome 3:NC_006585.3/CM000003.3; chromosome 4:NC_006586.3/CM000004.3; chromosome 5:NC_006587.3/CM000005.3; chromosome 6:NC_006588.3/CM000006.3; chromosome 7:NC_006589.3/CM000007.3; chromosome 8:NC_006590.3/CM000008.3; chromosome 9:NC_006591.3/CM000009.3; chromosome 10:NC_006592.3/CM000010.3; chromosome 11:NC_006593.3/CM000011.3; chromosome 12:NC_006594.3/CM000012.3; chromosome 13:NC_006595.3/CM000013.3; chromosome 14:NC_006596.3/CM000014.3; chromosome 15:NC_006597.3/CM000015.3; chromosome 16:NC_006598.3/CM000016.3; chromosome 17:NC_006599.3/CM000017.3; chromosome 18:NC_006600.3/CM000018.3; chromosome 19:NC_006601.3/CM000019.3; chromosome 20:NC_006602.3/CM000020.3; chromosome 21:NC_006603.3/CM000021.3; chromosome 22:NC_006604.3/CM000022.3; chromosome 23:NC_006605.3/CM000023.3; chromosome 24:NC_006606.3/CM000024.3; chromosome 25:NC_006607.3/CM000025.3; chromosome 26:NC_006608.3/CM000026.3; chromosome 27:NC_006609.3/CM000027.3; chromosome 28:NC_006610.3/CM000028.3; chromosome 29:NC_006611.3/CM000029.3; chromosome 30:NC_006612.3/CM000030.3; chromosome 31:NC_006613.3/CM000031.3; chromosome 32:NC_006614.3/CM000032.3; chromosome 33:NC_006615.3/CM000033.3; chromosome 34:NC_006616.3/CM000034.3; chromosome 35:NC_006617.3/CM000035.3; chromosome 36:NC_006618.3/CM000036.3; chromosome 37:NC_006619.3/CM000037.3; chromosome 38:NC_006620.3/CM000038.3; chromosome X:NC_006621.3/CM000039.3; mitochondrion MT:NC_002008.4/U96639.2	AAEX03	3310	36809	58776	2004/07/10	2014/08/06	Chromosome	Dog Genome Sequencing Consortium	SAMN02953603
Capra aegagrus	9923	PRJNA261263	261263	Animals	Mammals	2828.87	42.4124	GCA_000978405.1	chromosome 1:CM003214.1; chromosome 2:CM003215.1; chromosome 3:CM003216.1; chromosome 4:CM003217.1; chromosome 5:CM003218.1; chromosome 6:CM003219.1; chromosome 7:CM003220.1; chromosome 8:CM003221.1; chromosome 9:CM003222.1; chromosome 10:CM003223.1; chromosome 11:CM003225.1; chromosome 12:CM003226.1; chromosome 13:CM003227.1; chromosome 14:CM003228.1; chromosome 15:CM003229.1; chromosome 16:CM003230.1; chromosome 17:CM003231.1; chromosome 18:CM003232.1; chromosome 19:CM003233.1; chromosome 20:CM003234.1; chromosome 21:CM003235.1; chromosome 22:CM003236.1; chromosome 23:CM003237.1; chromosome 24:CM003238.1; chromosome 25:CM003239.1; chromosome 26:CM003240.1; chromosome 27:CM003241.1; chromosome 28:CM003242.1; chromosome 29:CM003243.1; chromosome X:CM003224.1; chromosome Y:CM003213.1	JXYW01	89498	-	-	2015/04/21	2015/04/24	Chromosome	BGI	SAMN03282421
Capra hircus	9925	PRJNA340281	340281	Animals	Mammals	2922.81	43.1505	GCA_001704415.1	chromosome 1:NC_030808.1/CM004562.1; chromosome 2:NC_030809.1/CM004563.1; chromosome 3:NC_030810.1/CM004564.1; chromosome 4:NC_030811.1/CM004565.1; chromosome 5:NC_030812.1/CM004566.1; chromosome 6:NC_030813.1/CM004567.1; chromosome 7:NC_030814.1/CM004568.1; chromosome 8:NC_030815.1/CM004569.1; chromosome 9:NC_030816.1/CM004570.1; chromosome 10:NC_030817.1/CM004571.1; chromosome 11:NC_030818.1/CM004572.1; chromosome 12:NC_030819.1/CM004573.1; chromosome 13:NC_030820.1/CM004574.1; chromosome 14:NC_030821.1/CM004575.1; chromosome 15:NC_030822.1/CM004576.1; chromosome 16:NC_030823.1/CM004577.1; chromosome 17:NC_030824.1/CM004578.1; chromosome 18:NC_030825.1/CM004579.1; chromosome 19:NC_030826.1/CM004580.1; chromosome 20:NC_030827.1/CM004581.1; chromosome 21:NC_030828.1/CM004582.1; chromosome 22:NC_030829.1/CM004583.1; chromosome 23:NC_030830.1/CM004584.1; chromosome 24:NC_030831.1/CM004585.1; chromosome 25:NC_030832.1/CM004586.1; chromosome 26:NC_030833.1/CM004587.1; chromosome 27:NC_030834.1/CM004588.1; chromosome 28:NC_030835.1/CM004589.1; chromosome 29:NC_030836.1/CM004590.1; mitochondrion MT:NC_005044.2/GU295658.1	LWLT01	29907	28404	42687	2016/08/12	2016/08/24	Chromosome	NCBI	SAMN03863711
Castor canadensis	51338	PRJNA371604	371604	Animals	Mammals	2518.31	39.7	GCA_001984765.1	-	MTKA01	21157	27186	37422	2017/02/04	2017/02/04	Scaffold	NCBI	SAMN06187566
Colinus virginianus	9014	PRJNA188411	188411	Animals	Birds	1042.05	42.5	GCA_000599485.1	-	AWGU01	374224	-	-	2014/03/20	2014/08/11	Scaffold	Texas A&M University	SAMN02981558
Columba livia	8932	PRJNA217047	217047	Animals	Birds	1107.99	41.6001	GCA_000337935.1	mitochondrion MT:NC_013978.1/GU908131.1	AKCR01	14923	26430	32508	2013/02/04	2017/12/13	Scaffold	NCBI	SAMN02981415
Corvus cornix cornix	932674	PRJNA192205	192205	Animals	Birds	1042.28	41.7	GCA_000738735.2	-	JPSR02	113	17215	29588	2014/08/04	2017/03/08	Scaffold	Uppsala University	SAMN02143031
Coturnix japonica	93934	PRJNA314147	314147	Animals	Birds	927.657	41.3684	GCA_001577835.1	chromosome 1:NC_029516.1/CM003781.1; chromosome 2:NC_029517.1/CM003782.1; chromosome 3:NC_029518.1/CM003783.1; chromosome 4:NC_029519.1/CM003784.1; chromosome 5:NC_029520.1/CM003785.1; chromosome 6:NC_029521.1/CM003786.1; chromosome 7:NC_029522.1/CM003787.1; chromosome 8:NC_029523.1/CM003788.1; chromosome 9:NC_029524.1/CM003789.1; chromosome 10:NC_029525.1/CM003790.1; chromosome 11:NC_029526.1/CM003791.1; chromosome 12:NC_029527.1/CM003792.1; chromosome 13:NC_029528.1/CM003793.1; chromosome 14:NC_029529.1/CM003794.1; chromosome 15:NC_029530.1/CM003795.1; chromosome 16:NC_029531.1/CM003796.1; chromosome 17:NC_029532.1/CM003797.1; chromosome 18:NC_029533.1/CM003798.1; chromosome 19:NC_029534.1/CM003799.1; chromosome 20:NC_029535.1/CM003800.1; chromosome 21:NC_029536.1/CM003801.1; chromosome 22:NC_029537.1/CM003802.1; chromosome 23:NC_029538.1/CM003803.1; chromosome 24:NC_029539.1/CM003804.1; chromosome 25:NC_029540.1/CM003805.1; chromosome 26:NC_029541.1/CM003806.1; chromosome 27:NC_029542.1/CM003807.1; chromosome 28:NC_029543.1/CM003808.1; chromosome LGE22C19W28_E50C23:NC_029544.1/CM003809.1; chromosome LGE64:NC_029545.1/CM003810.1; chromosome W:NC_029546.1/CM003811.1; chromosome Z:NC_029547.1/CM003812.1; mitochondrion MT:NC_003408.1/AP003195.2	LSZS01	2531	20441	39088	2016/02/24	2016/03/01	Chromosome	NCBI	SAMN03989050
Cricetulus griseus	10029	PRJNA69991	69991	Animals	Mammals	2399.79	41.6	GCA_000223135.1	mitochondrion MT:NC_007936.1/DQ390542.2	AFTD01	109152	27752	34935	2011/08/03	2014/08/11	Scaffold	Beijing Genomics Institute	SAMN02981352
Crocodylus porosus	8502	PRJNA357059	357059	Animals	Reptiles	2049.54	44.2	GCA_001723895.1	mitochondrion MT:NC_008143.1/AJ810453.1	MDVP01	70	19551	28676	2016/09/13	2016/09/13	Scaffold	NCBI	SAMN03102602
Cyprinus carpio	7962	PRJNA352247	352247	Animals	Fishes	1713.66	37.3325	GCA_000951615.2	chromosome 1:LN590701.1; chromosome 2:LN590712.1; chromosome 3:NC_031699.1/LN590693.1; chromosome 4:NC_031700.1/LN590680.1; chromosome 5:NC_031701.1/LN590709.1; chromosome 6:NC_031702.1/LN590703.1; chromosome 7:NC_031703.1/LN590677.1; chromosome 8:NC_031704.1/LN590691.1; chromosome 9:NC_031705.1/LN590718.1; chromosome 10:NC_031706.1/LN590700.1; chromosome 11:NC_031707.1/LN590705.1; chromosome 12:NC_031708.1/LN590717.1; chromosome 13:NC_031709.1/LN590687.1; chromosome 14:NC_031710.1/LN590704.1; chromosome 15:NC_031711.1/LN590697.1; chromosome 16:NC_031712.1/LN590685.1; chromosome 17:NC_031713.1/LN590698.1; chromosome 18:NC_031714.1/LN590684.1; chromosome 19:NC_031715.1/LN590720.1; chromosome 20:NC_031716.1/LN590713.1; chromosome 21:NC_031717.1/LN590682.1; chromosome 22:NC_031718.1/LN590699.1; chromosome 23:NC_031719.1/LN590695.1; chromosome 24:NC_031720.1/LN590679.1; chromosome 25:NC_031721.1/LN590719.1; chromosome 26:NC_031722.1/LN590710.1; chromosome 27:NC_031723.1/LN590714.1; chromosome 28:NC_031724.1/LN590678.1; chromosome 29:NC_031725.1/LN590689.1; chromosome 30:NC_031726.1/LN590707.1; chromosome 31:NC_031727.1/LN590690.1; chromosome 32:NC_031728.1/LN590696.1; chromosome 33:NC_031729.1/LN590692.1; chromosome 34:NC_031730.1/LN590676.1; chromosome 35:NC_031731.1/LN590686.1; chromosome 36:NC_031732.1/LN590706.1; chromosome 37:NC_031733.1/LN590672.1; chromosome 38:NC_031734.1/LN590683.1; chromosome 39:NC_031735.1/LN590708.1; chromosome 40:NC_031736.1/LN590711.1; chromosome 41:NC_031737.1/LN590716.1; chromosome 42:NC_031738.1/LN590674.1; chromosome 43:NC_031739.1/LN590694.1; chromosome 44:NC_031740.1/LN590675.1; chromosome 45:NC_031741.1/LN590673.1; chromosome 46:NC_031742.1/LN590715.1; chromosome 47:NC_031743.1/LN590681.1; chromosome 48:NC_031744.1/LN590688.1; chromosome 49:NC_031745.1/LN590671.1; chromosome 50:NC_031746.1/LN590702.1; mitochondrion MT:NC_001606.1/X61010.1	-	9378	66544	62491	2014/09/11	2016/01/28	Chromosome	NCBI	SAMEA2757102
Danio rerio	7955	PRJNA11776	11776	Animals	Fishes	1679.2	36.6374	GCA_000002035.4	chromosome 1:NC_007112.7/CM002885.2; chromosome 2:NC_007113.7/CM002886.2; chromosome 3:NC_007114.7/CM002887.2; chromosome 4:NC_007115.7/CM002888.2; chromosome 5:NC_007116.7/CM002889.2; chromosome 6:NC_007117.7/CM002890.2; chromosome 7:NC_007118.7/CM002891.2; chromosome 8:NC_007119.7/CM002892.2; chromosome 9:NC_007120.7/CM002893.2; chromosome 10:NC_007121.7/CM002894.2; chromosome 11:NC_007122.7/CM002895.2; chromosome 12:NC_007123.7/CM002896.2; chromosome 13:NC_007124.7/CM002897.2; chromosome 14:NC_007125.7/CM002898.2; chromosome 15:NC_007126.7/CM002899.2; chromosome 16:NC_007127.7/CM002900.2; chromosome 17:NC_007128.7/CM002901.2; chromosome 18:NC_007129.7/CM002902.2; chromosome 19:NC_007130.7/CM002903.2; chromosome 20:NC_007131.7/CM002904.2; chromosome 21:NC_007132.7/CM002905.2; chromosome 22:NC_007133.7/CM002906.2; chromosome 23:NC_007134.7/CM002907.2; chromosome 24:NC_007135.7/CM002908.2; chromosome 25:NC_007136.7/CM002909.2; mitochondrion MT:NC_002333.2/AC024175.3	-	2848	46998	57100	2005/07/05	2018/01/25	Chromosome	Genome Reference Consortium	SAMN06930106
Dicentrarchus labrax	13489	PRJEB5099	243422	Animals	Fishes	675.917	40.4	GCA_000689215.1	-	CBXY01	25	-	-	2014/04/07	2015/03/05	Scaffold	MPI-PZ	SAMEA3271076
Ellobius lutescens	39086	PRJNA305123	305123	Animals	Mammals	2191.77	41	GCA_001685115.1	-	LOJG01	413500	-	-	2016/07/14	2016/07/14	Scaffold	Erasmus medical center (ErasmusMC)	SAMN04317028
Equus caballus	9796	PRJNA18661	18661	Animals	Mammals	2474.93	41.6	GCA_000002305.1	-	AAWR02	9688	-	-	2007/01/24	2014/08/06	Chromosome	The Genome Assembly Team	SAMN02953672
Erinaceus europaeus	9365	PRJNA74585	74585	Animals	Mammals	2715.72	42.4999	GCA_000296755.1	mitochondrion MT:NC_002080.2/X88898.2	AMDU01	5803	22541	29382	2012/09/10	2013/11/01	Scaffold	Broad Institute	SAMN00760989
Eschrichtius robustus	9764	PRJNA384396	384396	Animals	Mammals	2849.45	30.7	GCA_002189225.1	-	NIPP01	57203	-	-	2017/06/09	2017/06/09	Scaffold	Purdue University	SAMN06837692
Falco peregrinus	8954	PRJNA347893	347893	Animals	Birds	1112.06	41.6016	GCA_001887755.1	chromosome 1:CM007505.1; chromosome 2:CM007506.1; chromosome 3:CM007507.1; chromosome 4:CM007508.1; chromosome 5:CM007509.1; chromosome 6:CM007510.1; chromosome 7:CM007511.1; chromosome 8:CM007512.1; chromosome 9:CM007513.1; chromosome 10:CM007514.1; chromosome 11:CM007515.1; chromosome 12:CM007516.1; chromosome 13:CM007517.1; chromosome 14:CM007518.1; chromosome 15:CM007519.1; chromosome 16:CM007520.1; chromosome 17:CM007521.1; chromosome 18:CM007522.1; chromosome Z:CM007504.1	MLQY01	72	-	-	2016/11/29	2016/12/02	Chromosome	Royal Veterinary College	SAMN02981425
Felis catus	9685	PRJNA16726	16726	Animals	Mammals	2521.86	40.3	GCA_000181335.4	mitochondrion MT:NC_001700.1/U20753.1	AANG04	4525	13	13	2006/04/27	2017/11/20	Chromosome	International Cat Genome Sequencing Consortium	SAMN02953640
Gallus gallus	9031	PRJNA13342	13342	Animals	Birds	1230.26	42.9197	GCA_000002315.3	chromosome 1:NC_006088.4/CM000093.4; chromosome 2:NC_006089.4/CM000094.4; chromosome 3:NC_006090.4/CM000095.4; chromosome 4:NC_006091.4/CM000096.4; chromosome 5:NC_006092.4/CM000097.4; chromosome 6:NC_006093.4/CM000098.4; chromosome 7:NC_006094.4/CM000099.4; chromosome 8:NC_006095.4/CM000100.4; chromosome 9:NC_006096.4/CM000101.4; chromosome 10:NC_006097.4/CM000102.4; chromosome 11:NC_006098.4/CM000103.4; chromosome 12:NC_006099.4/CM000104.4; chromosome 13:NC_006100.4/CM000105.4; chromosome 14:NC_006101.4/CM000106.4; chromosome 15:NC_006102.4/CM000107.4; chromosome 16:NC_006103.4/CM000108.4; chromosome 17:NC_006104.4/CM000109.4; chromosome 18:NC_006105.4/CM000110.4; chromosome 19:NC_006106.4/CM000111.4; chromosome 20:NC_006107.4/CM000112.4; chromosome 21:NC_006108.4/CM000113.4; chromosome 22:NC_006109.4/CM000114.4; chromosome 23:NC_006110.4/CM000115.4; chromosome 24:NC_006111.4/CM000116.4; chromosome 25:NC_006112.3/CM000124.4; chromosome 26:NC_006113.4/CM000117.4; chromosome 27:NC_006114.4/CM000118.4; chromosome 28:NC_006115.4/CM000119.4; chromosome 30:NC_028739.1/CM003637.1; chromosome 31:NC_028740.1/CM003638.1; chromosome 32:NC_006119.3/CM000120.3; chromosome 33:NC_008465.3/CM000123.4; chromosome W:NC_006126.4/CM000121.4; chromosome Z:NC_006127.4/CM000122.4; linkage group LGE64:NC_008466.3/; mitochondrion MT:NC_001323.1/X52392.1	AADN04	23870	25062	46393	2004/02/29	2016/01/04	Chromosome	Genome Reference Consortium	SAMN02981218
Gorilla gorilla gorilla	9595	PRJEB10880	314199	Animals	Mammals	3084.6	40.7384	GCA_900006655.3	chromosome 1:LT578324.1; chromosome 2A:LT578338.1; chromosome 2B:LT578339.1; chromosome 3:LT578340.1; chromosome 4:LT578341.1; chromosome 5:LT578342.1; chromosome 6:LT578343.1; chromosome 7:LT578344.1; chromosome 8:LT578345.1; chromosome 9:LT578346.1; chromosome 10:LT578325.1; chromosome 11:LT578326.1; chromosome 12:LT578327.1; chromosome 13:LT578328.1; chromosome 14:LT578329.1; chromosome 15:LT578330.1; chromosome 16:LT578331.1; chromosome 17:LT578332.1; chromosome 18:LT578333.1; chromosome 19:LT578334.1; chromosome 20:LT578335.1; chromosome 21:LT578336.1; chromosome 22:LT578337.1; chromosome X:LT578347.1	CYUI03	15745	-	-	2016/03/04	2016/04/16	Chromosome	UNIVERSITY OF WASHINGTON	SAMEA3541598
Heterocephalus glaber	10181	PRJNA72441	72441	Animals	Mammals	2618.2	41.2	GCA_000247695.1	mitochondrion MT:NC_015112.1/HQ689652.1	AHKG01	4229	37344	60814	2012/02/15	2015/02/18	Scaffold	Broad Institute	SAMN00714537
Ictidomys tridecemlineatus	43179	PRJNA61725	61725	Animals	Mammals	2478.39	40.5	GCA_000236235.1	-	AGTP01	12483	25998	38592	2011/11/25	2013/11/01	Scaffold	Broad Institute	SAMN00210855
Kryptolebias marmoratus	37003	PRJNA326783	326783	Animals	Fishes	680.367	40.6001	GCA_001649575.1	mitochondrion MT:NC_003290.1/AF283503.1	LWHD01	3073	23485	38516	2016/05/22	2016/05/22	Scaffold	NCBI	SAMN04622665
Larimichthys crocea	215358	PRJNA354443	354443	Animals	Fishes	678.938	41.4001	GCA_000972845.1	mitochondrion MT:NC_011710.1/EU339149.1	JRPU01	6014	27103	41060	2015/04/16	2015/04/21	Scaffold	NCBI	SAMN03092871
Lates calcarifer	8187	PRJNA345597	345597	Animals	Fishes	668.481	40.8001	GCA_001640805.1	mitochondrion MT:NC_007439.1/DQ010541.1	LLXD01	3808	30224	45223	2016/05/09	2016/05/09	Scaffold	NCBI	SAMN04026617
Latimeria chalumnae	7897	PRJNA56111	56111	Animals	Fishes	2860.59	43	GCA_000225785.1	mitochondrion MT:NC_001804.1/U82228.1	AFYH01	22819	26117	34251	2011/09/09	2013/11/06	Scaffold	Broad Institute	SAMN00138723
Lycaon pictus	9622	PRJNA304992	304992	Animals	Mammals	2356.72	41.9253	GCA_001883655.1	chromosome 1:CM007412.1; chromosome 2:CM007413.1; chromosome 3:CM007414.1; chromosome 4:CM007415.1; chromosome 5:CM007416.1; chromosome 6:CM007417.1; chromosome 7:CM007418.1; chromosome 8:CM007419.1; chromosome 9:CM007420.1; chromosome 10:CM007421.1; chromosome 11:CM007423.1; chromosome 12:CM007424.1; chromosome 13:CM007425.1; chromosome 14:CM007426.1; chromosome 15:CM007427.1; chromosome 16:CM007428.1; chromosome 17:CM007429.1; chromosome 18:CM007430.1; chromosome 19:CM007431.1; chromosome 20:CM007432.1; chromosome 21:CM007433.1; chromosome 22:CM007434.1; chromosome 23:CM007435.1; chromosome 24:CM007436.1; chromosome 25:CM007437.1; chromosome 26:CM007438.1; chromosome 27:CM007439.1; chromosome 28:CM007440.1; chromosome 29:CM007441.1; chromosome 30:CM007403.1; chromosome 31:CM007404.1; chromosome 32:CM007405.1; chromosome 33:CM007406.1; chromosome 34:CM007407.1; chromosome 35:CM007408.1; chromosome 36:CM007409.1; chromosome 37:CM007410.1; chromosome 38:CM007411.1; chromosome X:CM007422.1; mitochondrion MT:CM007554.1	LPRA01	813	-	-	2016/11/18	2016/12/01	Chromosome	Smithsonian Institution	SAMN04312209
Macaca mulatta	9544	PRJNA214746	214746	Animals	Mammals	3236.22	41.2015	GCA_000772875.3	chromosome 1:NC_027893.1/CM002977.3; chromosome 2:NC_027894.1/CM002980.3; chromosome 3:NC_027895.1/CM002984.2; chromosome 4:NC_027896.1/CM002983.2; chromosome 5:NC_027897.1/CM002981.2; chromosome 6:NC_027898.1/CM002982.3; chromosome 7:NC_027899.1/CM002991.3; chromosome 8:NC_027900.1/CM002985.3; chromosome 9:NC_027901.1/CM002987.3; chromosome 10:NC_027902.1/CM002992.3; chromosome 11:NC_027903.1/CM002989.3; chromosome 12:NC_027904.1/CM002979.2; chromosome 13:NC_027905.1/CM002978.2; chromosome 14:NC_027906.1/CM002988.2; chromosome 15:NC_027907.1/CM002986.2; chromosome 16:NC_027908.1/CM002994.2; chromosome 17:NC_027909.1/CM002990.2; chromosome 18:NC_027910.1/CM002995.2; chromosome 19:NC_027911.1/CM002996.3; chromosome 20:NC_027912.1/CM002993.2; chromosome X:NC_027913.1/CM002997.3; chromosome Y:NC_027914.1/CM003438.1; mitochondrion MT:NC_005943.1/AY612638.1	JSUE03	286263	33218	55366	2014/11/04	2015/11/30	Chromosome	Baylor College of Medicine Genome Sequencing Center	-
Manacus vitellinus	328815	PRJNA253835	253835	Animals	Birds	1145.85	41.2	GCA_000692015.2	-	JMFM02	92755	15177	12843	2014/05/13	2016/11/17	Scaffold	NCBI	SAMN02299332
Mustela putorius furo	9669	PRJNA59869	59869	Animals	Mammals	2410.88	41.9	GCA_000215625.1	mitochondrion MT:NC_020638.1/HM106318.1	AEYP01	7783	27321	48107	2011/06/01	2014/08/04	Scaffold	Ferret Genome Sequencing Consortium	SAMN00149631
